qseqid	sseqid	identity	length	mismatch	gaps	qstart	qend	sstart	send	evalue	bitscore	sscinames
ABKP02026452.1	UniRef50_Q7PUQ6	97.4	155	4	0	1	465	1	155	1.30E-76	293.5	UniRef50_Q7PUQ6 AGAP001970-PA n=18 Tax=cellular organisms TaxID=131567 RepID=Q7PUQ6_ANOGA
ABKP02026452.1	UniRef50_A0A182UDV6	96.8	155	5	0	1	465	293	447	2.90E-76	292.4	UniRef50_A0A182UDV6 Ubiquitin-like domain-containing protein n=1 Tax=Anopheles melas TaxID=34690 RepID=A0A182UDV6_9DIPT
ABKP02026452.1	UniRef50_A0A084VHL4	92.5	159	12	0	1	477	1	159	2.90E-76	292.4	UniRef50_A0A084VHL4 Ubiquitin-like domain-containing protein n=8 Tax=Eukaryota TaxID=2759 RepID=A0A084VHL4_ANOSI
ABKP02026452.1	UniRef50_UPI00237C199B	92.5	159	12	0	1	477	1	159	4.20E-75	288.5	UniRef50_UPI00237C199B LOW QUALITY PROTEIN: uncharacterized protein LOC128731526 n=1 Tax=Anopheles nili TaxID=185578 RepID=UPI00237C199B
ADMH02001611.1	UniRef50_W5JBG3	97.4	77	2	0	22	252	76	152	5.70E-34	151	UniRef50_W5JBG3 Ubiquitin n=6 Tax=cellular organisms TaxID=131567 RepID=W5JBG3_ANODA
ADMH02001611.1	UniRef50_Q7PUN2	93.8	81	5	0	22	264	152	232	5.70E-34	151	UniRef50_Q7PUN2 AGAP001969-PA n=20 Tax=Eukaryota TaxID=2759 RepID=Q7PUN2_ANOGA
ADMH02001611.1	UniRef50_A0A182MWD4	96.2	79	3	0	22	258	34	112	7.50E-34	150.6	UniRef50_A0A182MWD4 Ubiquitin-like domain-containing protein n=2 Tax=Anopheles TaxID=7164 RepID=A0A182MWD4_9DIPT
ADMH02001611.1	UniRef50_UPI00237C199B	92.6	81	6	0	22	264	76	156	1.30E-33	149.8	UniRef50_UPI00237C199B LOW QUALITY PROTEIN: uncharacterized protein LOC128731526 n=1 Tax=Anopheles nili TaxID=185578 RepID=UPI00237C199B
ADMH02001611.1	UniRef50_UPI0020FFD448	92.6	81	6	0	22	264	183	263	4.80E-33	147.9	UniRef50_UPI0020FFD448 polyubiquitin-B-like n=2 Tax=Bilateria TaxID=33213 RepID=UPI0020FFD448
ADMH02001548.1	UniRef50_A0A1E1WLD9	92	87	7	0	28	288	18	104	7.90E-37	160.6	UniRef50_A0A1E1WLD9 Ubiquitin-like domain-containing protein n=1 Tax=Pectinophora gossypiella TaxID=13191 RepID=A0A1E1WLD9_PECGO
ADMH02001548.1	UniRef50_A0A498MCC2	94	84	5	0	37	288	278	361	8.70E-36	157.1	UniRef50_A0A498MCC2 Ubiquitin-ribosomal protein eL40 fusion protein n=2 Tax=Labeo rohita TaxID=84645 RepID=A0A498MCC2_LABRO
ADMH02001548.1	UniRef50_A0A8C9Y6K9	95.1	82	4	0	43	288	50	131	1.50E-35	156.4	UniRef50_A0A8C9Y6K9 Ubiquitin B n=3 Tax=Euteleostomi TaxID=117571 RepID=A0A8C9Y6K9_SANLU
ADMH02001548.1	UniRef50_A0A182MLQ4	96.3	82	3	0	43	288	37	118	1.90E-35	156	UniRef50_A0A182MLQ4 Ubiquitin-like domain-containing protein n=9 Tax=cellular organisms TaxID=131567 RepID=A0A182MLQ4_9DIPT
ADMH02001548.1	UniRef50_A0A8C4BG07	93.1	87	5	1	28	288	5	90	2.50E-35	155.6	UniRef50_A0A8C4BG07 Ubiquitin-like domain-containing protein n=7 Tax=Bilateria TaxID=33213 RepID=A0A8C4BG07_9TELE
ADMH02001611.1	UniRef50_W5JBG3	100	153	0	0	73	531	1	153	2.60E-78	299.3	UniRef50_W5JBG3 Ubiquitin n=6 Tax=cellular organisms TaxID=131567 RepID=W5JBG3_ANODA
ADMH02001611.1	UniRef50_UPI00237C199B	95.4	153	7	0	73	531	1	153	7.90E-75	287.7	UniRef50_UPI00237C199B LOW QUALITY PROTEIN: uncharacterized protein LOC128731526 n=1 Tax=Anopheles nili TaxID=185578 RepID=UPI00237C199B
ADMH02001611.1	UniRef50_A0A182UDV6	84.7	176	25	1	10	531	270	445	5.10E-74	285	UniRef50_A0A182UDV6 Ubiquitin-like domain-containing protein n=1 Tax=Anopheles melas TaxID=34690 RepID=A0A182UDV6_9DIPT
ADMH02001611.1	UniRef50_A0A084VHL4	94.1	153	9	0	73	531	1	153	1.10E-73	283.9	UniRef50_A0A084VHL4 Ubiquitin-like domain-containing protein n=8 Tax=Eukaryota TaxID=2759 RepID=A0A084VHL4_ANOSI
ADMH02001611.1	UniRef50_UPI0020FFD448	93.5	153	10	0	73	531	32	184	7.40E-73	281.2	UniRef50_UPI0020FFD448 polyubiquitin-B-like n=2 Tax=Bilateria TaxID=33213 RepID=UPI0020FFD448
ADMH02001611.1	UniRef50_A0A814EQ92	96.9	159	5	0	1	477	428	586	1.60E-79	303.1	UniRef50_A0A814EQ92 Uncharacterized protein n=4 Tax=Bilateria TaxID=33213 RepID=A0A814EQ92_9BILA
ADMH02001611.1	UniRef50_A0A151NSC4	98.1	157	3	0	7	477	37	193	2.10E-79	302.8	UniRef50_A0A151NSC4 Scavenger receptor class B member 1 isoform A n=17 Tax=Bilateria TaxID=33213 RepID=A0A151NSC4_ALLMI
ADMH02001611.1	UniRef50_A0A3P9ME82	97.5	158	4	0	4	477	486	643	2.80E-79	302.4	UniRef50_A0A3P9ME82 Ubiquitin B n=17 Tax=Bilateria TaxID=33213 RepID=A0A3P9ME82_ORYLA
ADMH02001611.1	UniRef50_A0A3P9JTM9	97.5	158	4	0	4	477	545	702	2.80E-79	302.4	UniRef50_A0A3P9JTM9 Ubiquitin B n=1 Tax=Oryzias latipes TaxID=8090 RepID=A0A3P9JTM9_ORYLA
ADMH02001611.1	UniRef50_Q5CRJ4	100	154	0	0	16	477	11	164	2.80E-79	302.4	UniRef50_Q5CRJ4 Polyubiquitin with 3 Ub domains (Fragment) n=3 Tax=Eukaryota TaxID=2759 RepID=Q5CRJ4_CRYPI
ADMH02002110.1	UniRef50_A0A8C9NL19	98.8	80	1	0	88	327	52	131	1.70E-35	156.4	UniRef50_A0A8C9NL19 Ubiquitin-ribosomal protein eS31 fusion protein n=6 Tax=Amniota TaxID=32524 RepID=A0A8C9NL19_SERCA
ADMH02002110.1	UniRef50_UPI001301BD06	96.3	82	3	0	79	324	4	85	2.90E-35	155.6	UniRef50_UPI001301BD06 polyubiquitin-C isoform X1 n=6 Tax=Bilateria TaxID=33213 RepID=UPI001301BD06
ADMH02002110.1	UniRef50_Q66K58	97.5	80	2	0	85	324	10	89	4.90E-35	154.8	UniRef50_Q66K58 Ubiquitin-like domain-containing protein (Fragment) n=1 Tax=Homo sapiens TaxID=9606 RepID=Q66K58_HUMAN
ADMH02002110.1	UniRef50_A0A8I3QYD0	98.7	79	1	0	88	324	236	314	4.90E-35	154.8	UniRef50_A0A8I3QYD0 Ubiquitin-like domain-containing protein n=2 Tax=Canis lupus familiaris TaxID=9615 RepID=A0A8I3QYD0_CANLF
ADMH02002110.1	UniRef50_A0A0K0FAI6	97.5	79	2	0	88	324	214	292	6.40E-35	154.5	UniRef50_A0A0K0FAI6 Ubiquitin-ribosomal protein eL40 fusion protein n=6 Tax=Strongyloididae TaxID=6246 RepID=A0A0K0FAI6_STRVS
ALPR02000154.1	UniRef50_UPI0020FFD448	96.5	229	8	0	4	690	32	260	2.20E-117	429.5	UniRef50_UPI0020FFD448 polyubiquitin-B-like n=2 Tax=Bilateria TaxID=33213 RepID=UPI0020FFD448
ALPR02000154.1	UniRef50_A0A182UDV6	96.9	228	7	0	4	687	293	520	2.80E-117	429.1	UniRef50_A0A182UDV6 Ubiquitin-like domain-containing protein n=1 Tax=Anopheles melas TaxID=34690 RepID=A0A182UDV6_9DIPT
ALPR02000154.1	UniRef50_Q7PUQ6	96.9	228	7	0	4	687	1	228	3.70E-117	428.7	UniRef50_Q7PUQ6 AGAP001970-PA n=18 Tax=cellular organisms TaxID=131567 RepID=Q7PUQ6_ANOGA
ALPR02000154.1	UniRef50_UPI00237C199B	94.7	228	12	0	4	687	1	228	7.00E-116	424.5	UniRef50_UPI00237C199B LOW QUALITY PROTEIN: uncharacterized protein LOC128731526 n=1 Tax=Anopheles nili TaxID=185578 RepID=UPI00237C199B
ALPR02000154.1	UniRef50_Q7PUN2	86	229	32	0	4	690	77	305	6.10E-104	384.8	UniRef50_Q7PUN2 AGAP001969-PA n=20 Tax=Eukaryota TaxID=2759 RepID=Q7PUN2_ANOGA
ALPR02002405.1	UniRef50_A0A8K1LLI0	99.6	230	1	0	10	699	68	297	6.00E-123	448	UniRef50_A0A8K1LLI0 Ubiquitin-like domain-containing protein n=11 Tax=Bilateria TaxID=33213 RepID=A0A8K1LLI0_9PASS
ALPR02002405.1	UniRef50_A0A6A4T6T4	100	229	0	0	13	699	1507	1735	1.00E-122	447.2	UniRef50_A0A6A4T6T4 Uncharacterized protein n=4 Tax=root TaxID=1 RepID=A0A6A4T6T4_SCOMX
ALPR02002405.1	UniRef50_F7IUE6	100	229	0	0	13	699	837	1065	1.00E-122	447.2	UniRef50_F7IUE6 AGAP001971-PA n=11 Tax=Bilateria TaxID=33213 RepID=F7IUE6_ANOGA
ALPR02002405.1	UniRef50_A0A4Y0BGR5	100	229	0	0	13	699	685	913	1.00E-122	447.2	UniRef50_A0A4Y0BGR5 Ubiquitin-like domain-containing protein n=7 Tax=Bilateria TaxID=33213 RepID=A0A4Y0BGR5_ANOFN
ALPR02002405.1	UniRef50_Q17000	100	229	0	0	13	699	457	685	1.00E-122	447.2	UniRef50_Q17000 Polyubiquitin n=6 Tax=Bilateria TaxID=33213 RepID=Q17000_ARTSF
ALPR02004866.1	UniRef50_A0A423TU39	100	77	0	0	1	231	175	251	1.30E-34	152.9	UniRef50_A0A423TU39 Ubiquitin-like domain-containing protein n=1 Tax=Penaeus vannamei TaxID=6689 RepID=A0A423TU39_PENVA
ALPR02004866.1	UniRef50_A0A1J4MZ88	100	77	0	0	1	231	46	122	1.30E-34	152.9	UniRef50_A0A1J4MZ88 Ubiquitin family protein n=2 Tax=Eukaryota TaxID=2759 RepID=A0A1J4MZ88_9CRYT
ALPR02004866.1	UniRef50_A0A653D7M7	98.7	77	1	0	1	231	93	169	1.70E-34	152.5	UniRef50_A0A653D7M7 Ubiquitin-like domain-containing protein n=3 Tax=Bilateria TaxID=33213 RepID=A0A653D7M7_CALMS
ALPR02004866.1	UniRef50_A0A9Q0MNV1	98.7	77	1	0	1	231	10	86	1.70E-34	152.5	UniRef50_A0A9Q0MNV1 Polyubiquitin n=13 Tax=Opisthokonta TaxID=33154 RepID=A0A9Q0MNV1_9DIPT
ALPR02004866.1	UniRef50_A0A8B8D021	98.7	77	1	0	1	231	15	91	1.70E-34	152.5	UniRef50_A0A8B8D021 Ubiquitin-ribosomal protein eL40 fusion protein n=14 Tax=Eukaryota TaxID=2759 RepID=A0A8B8D021_CRAVI
APCG01004035.1	UniRef50_A0A423TU39	100	77	0	0	1	231	175	251	1.30E-34	152.9	UniRef50_A0A423TU39 Ubiquitin-like domain-containing protein n=1 Tax=Penaeus vannamei TaxID=6689 RepID=A0A423TU39_PENVA
APCG01004035.1	UniRef50_A0A1J4MZ88	100	77	0	0	1	231	46	122	1.30E-34	152.9	UniRef50_A0A1J4MZ88 Ubiquitin family protein n=2 Tax=Eukaryota TaxID=2759 RepID=A0A1J4MZ88_9CRYT
APCG01004035.1	UniRef50_A0A653D7M7	98.7	77	1	0	1	231	93	169	1.70E-34	152.5	UniRef50_A0A653D7M7 Ubiquitin-like domain-containing protein n=3 Tax=Bilateria TaxID=33213 RepID=A0A653D7M7_CALMS
APCG01004035.1	UniRef50_A0A9Q0MNV1	98.7	77	1	0	1	231	10	86	1.70E-34	152.5	UniRef50_A0A9Q0MNV1 Polyubiquitin n=13 Tax=Opisthokonta TaxID=33154 RepID=A0A9Q0MNV1_9DIPT
APCG01004035.1	UniRef50_A0A8B8D021	98.7	77	1	0	1	231	15	91	1.70E-34	152.5	UniRef50_A0A8B8D021 Ubiquitin-ribosomal protein eL40 fusion protein n=14 Tax=Eukaryota TaxID=2759 RepID=A0A8B8D021_CRAVI
APCG01004041.1	UniRef50_UPI0020FFD448	96.5	229	8	0	4	690	32	260	2.20E-117	429.5	UniRef50_UPI0020FFD448 polyubiquitin-B-like n=2 Tax=Bilateria TaxID=33213 RepID=UPI0020FFD448
APCG01004041.1	UniRef50_A0A182UDV6	96.9	228	7	0	4	687	293	520	2.80E-117	429.1	UniRef50_A0A182UDV6 Ubiquitin-like domain-containing protein n=1 Tax=Anopheles melas TaxID=34690 RepID=A0A182UDV6_9DIPT
APCG01004041.1	UniRef50_Q7PUQ6	96.9	228	7	0	4	687	1	228	3.70E-117	428.7	UniRef50_Q7PUQ6 AGAP001970-PA n=18 Tax=cellular organisms TaxID=131567 RepID=Q7PUQ6_ANOGA
APCG01004041.1	UniRef50_UPI00237C199B	94.7	228	12	0	4	687	1	228	7.00E-116	424.5	UniRef50_UPI00237C199B LOW QUALITY PROTEIN: uncharacterized protein LOC128731526 n=1 Tax=Anopheles nili TaxID=185578 RepID=UPI00237C199B
APCG01004041.1	UniRef50_Q7PUN2	86	229	32	0	4	690	77	305	6.10E-104	384.8	UniRef50_Q7PUN2 AGAP001969-PA n=20 Tax=Eukaryota TaxID=2759 RepID=Q7PUN2_ANOGA
APCG01004041.1	UniRef50_A0A8C4BG07	97.5	160	4	0	7	486	8	167	1.30E-79	303.5	UniRef50_A0A8C4BG07 Ubiquitin-like domain-containing protein n=7 Tax=Bilateria TaxID=33213 RepID=A0A8C4BG07_9TELE
APCG01004041.1	UniRef50_A0A3P9ME82	97.5	158	4	0	13	486	487	644	2.20E-79	302.8	UniRef50_A0A3P9ME82 Ubiquitin B n=17 Tax=Bilateria TaxID=33213 RepID=A0A3P9ME82_ORYLA
APCG01004041.1	UniRef50_A0A3P9JTM9	97.5	158	4	0	13	486	546	703	2.20E-79	302.8	UniRef50_A0A3P9JTM9 Ubiquitin B n=1 Tax=Oryzias latipes TaxID=8090 RepID=A0A3P9JTM9_ORYLA
APCG01004041.1	UniRef50_A0A8C9Y6K9	94.4	162	9	0	1	486	47	208	2.90E-79	302.4	UniRef50_A0A8C9Y6K9 Ubiquitin B n=3 Tax=Euteleostomi TaxID=117571 RepID=A0A8C9Y6K9_SANLU
APCG01004041.1	UniRef50_A0A667XDC0	98.1	157	3	0	13	483	39	195	3.80E-79	302	UniRef50_A0A667XDC0 Ubiquitin-like domain-containing protein n=11 Tax=Eukaryota TaxID=2759 RepID=A0A667XDC0_9TELE
APCH01001456.1	UniRef50_Q7PUN2	100	307	0	0	13	933	1	307	3.40E-166	592	UniRef50_Q7PUN2 AGAP001969-PA n=20 Tax=Eukaryota TaxID=2759 RepID=Q7PUN2_ANOGA
APCH01001456.1	UniRef50_UPI0020FFD448	87.5	304	38	0	13	924	32	335	3.30E-145	522.3	UniRef50_UPI0020FFD448 polyubiquitin-B-like n=2 Tax=Bilateria TaxID=33213 RepID=UPI0020FFD448
APCH01001456.1	UniRef50_UPI00237C199B	80.4	312	56	1	13	933	77	388	1.70E-136	493.4	UniRef50_UPI00237C199B LOW QUALITY PROTEIN: uncharacterized protein LOC128731526 n=1 Tax=Anopheles nili TaxID=185578 RepID=UPI00237C199B
APCH01001456.1	UniRef50_A0A084VHL4	71.2	313	81	1	13	924	1	313	1.70E-120	440.3	UniRef50_A0A084VHL4 Ubiquitin-like domain-containing protein n=8 Tax=Eukaryota TaxID=2759 RepID=A0A084VHL4_ANOSI
APCH01001456.1	UniRef50_UPI00273CEA08	69.8	308	92	1	13	933	77	384	4.10E-119	435.6	UniRef50_UPI00273CEA08 LOW QUALITY PROTEIN: polyubiquitin-C-like n=1 Tax=Topomyia yanbarensis TaxID=2498891 RepID=UPI00273CEA08
APCH01000740.1	UniRef50_A0A3Q0JF84	100	32	0	0	1	96	2357	2388	2.00E-08	64.7	UniRef50_A0A3Q0JF84 LOW QUALITY PROTEIN: uncharacterized protein LOC103519968 n=6 Tax=Eukaryota TaxID=2759 RepID=A0A3Q0JF84_DIACI
APCH01000740.1	UniRef50_P62975	100	32	0	0	1	96	1	32	2.00E-08	64.7	UniRef50_P62975 Ubiquitin n=67 Tax=root TaxID=1 RepID=UBIQ_RABIT
APCH01000740.1	UniRef50_A0A8J6L7V4	100	32	0	0	1	96	1	32	2.00E-08	64.7	UniRef50_A0A8J6L7V4 Ubiquitin-ribosomal protein eL40 fusion protein n=2 Tax=Protostomia TaxID=33317 RepID=A0A8J6L7V4_TENMO
APCH01000740.1	UniRef50_P62972	100	32	0	0	1	96	92	123	2.00E-08	64.7	UniRef50_P62972 Polyubiquitin (Fragment) n=258 Tax=cellular organisms TaxID=131567 RepID=UBIQP_XENLA
APCH01000740.1	UniRef50_A0A803J2T3	100	32	0	0	1	96	913	944	2.00E-08	64.7	UniRef50_A0A803J2T3 Ubiquitin-like domain-containing protein n=29 Tax=Bilateria TaxID=33213 RepID=A0A803J2T3_XENTR
APCI01006339.1	UniRef50_A0A8C9NL19	98.8	80	1	0	34	273	52	131	1.10E-35	156.8	UniRef50_A0A8C9NL19 Ubiquitin-ribosomal protein eS31 fusion protein n=6 Tax=Amniota TaxID=32524 RepID=A0A8C9NL19_SERCA
APCI01006339.1	UniRef50_Q66K58	97.5	80	2	0	31	270	10	89	3.10E-35	155.2	UniRef50_Q66K58 Ubiquitin-like domain-containing protein (Fragment) n=1 Tax=Homo sapiens TaxID=9606 RepID=Q66K58_HUMAN
APCI01006339.1	UniRef50_A0A8I3QYD0	98.7	79	1	0	34	270	236	314	3.10E-35	155.2	UniRef50_A0A8I3QYD0 Ubiquitin-like domain-containing protein n=2 Tax=Canis lupus familiaris TaxID=9615 RepID=A0A8I3QYD0_CANLF
APCI01006339.1	UniRef50_A0A4Y7NKT8	98.7	79	1	0	37	273	284	362	4.10E-35	154.8	UniRef50_A0A4Y7NKT8 Ribosome biogenesis protein NSA2 homolog n=73 Tax=Eukaryota TaxID=2759 RepID=A0A4Y7NKT8_9CRUS
APCI01006339.1	UniRef50_UPI001301BD06	97.5	80	2	0	31	270	6	85	9.10E-35	153.7	UniRef50_UPI001301BD06 polyubiquitin-C isoform X1 n=6 Tax=Bilateria TaxID=33213 RepID=UPI001301BD06
APCI01000432.1	UniRef50_A0A4Y7NKT8	92.9	85	6	0	109	363	277	361	8.40E-36	157.5	UniRef50_A0A4Y7NKT8 Ribosome biogenesis protein NSA2 homolog n=73 Tax=Eukaryota TaxID=2759 RepID=A0A4Y7NKT8_9CRUS
APCI01000432.1	UniRef50_A0A182MLQ4	81.2	101	13	1	61	363	24	118	1.10E-35	157.1	UniRef50_A0A182MLQ4 Ubiquitin-like domain-containing protein n=9 Tax=cellular organisms TaxID=131567 RepID=A0A182MLQ4_9DIPT
APCI01000432.1	UniRef50_A0A8J2JGE6	71.2	118	22	2	25	363	29	139	1.40E-35	156.8	UniRef50_A0A8J2JGE6 Uncharacterized protein n=1 Tax=Allacma fusca TaxID=39272 RepID=A0A8J2JGE6_9HEXA
APCI01000432.1	UniRef50_A0A6J2NC17	97.5	80	2	0	124	363	33	112	1.40E-35	156.8	UniRef50_A0A6J2NC17 Polyubiquitin-B isoform X1 n=6 Tax=Euteleostomi TaxID=117571 RepID=A0A6J2NC17_9CHIR
APCI01000432.1	UniRef50_A0A498MCC2	95.3	86	3	1	106	363	277	361	1.90E-35	156.4	UniRef50_A0A498MCC2 Ubiquitin-ribosomal protein eL40 fusion protein n=2 Tax=Labeo rohita TaxID=84645 RepID=A0A498MCC2_LABRO
APCI01000432.1	UniRef50_UPI00237C199B	95.2	228	11	0	16	699	1	228	2.90E-117	429.1	UniRef50_UPI00237C199B LOW QUALITY PROTEIN: uncharacterized protein LOC128731526 n=1 Tax=Anopheles nili TaxID=185578 RepID=UPI00237C199B
APCI01000432.1	UniRef50_UPI0020FFD448	95.6	229	10	0	16	702	32	260	2.90E-117	429.1	UniRef50_UPI0020FFD448 polyubiquitin-B-like n=2 Tax=Bilateria TaxID=33213 RepID=UPI0020FFD448
APCI01000432.1	UniRef50_Q7PUQ6	96.1	228	9	0	16	699	1	228	4.90E-117	428.3	UniRef50_Q7PUQ6 AGAP001970-PA n=18 Tax=cellular organisms TaxID=131567 RepID=Q7PUQ6_ANOGA
APCI01000432.1	UniRef50_A0A182UDV6	95.6	228	10	0	16	699	293	520	1.10E-116	427.2	UniRef50_A0A182UDV6 Ubiquitin-like domain-containing protein n=1 Tax=Anopheles melas TaxID=34690 RepID=A0A182UDV6_9DIPT
APCI01000432.1	UniRef50_Q7PUN2	85.6	229	33	0	16	702	77	305	8.20E-104	384.4	UniRef50_Q7PUN2 AGAP001969-PA n=20 Tax=Eukaryota TaxID=2759 RepID=Q7PUN2_ANOGA
APCJ01000261.1	UniRef50_A0A813CNP9	100	44	0	0	1	132	1295	1338	2.70E-16	91.3	UniRef50_A0A813CNP9 TU20 protein n=5 Tax=Eukaryota TaxID=2759 RepID=A0A813CNP9_9DINO
APCJ01000261.1	UniRef50_A0A3Q0JF84	100	44	0	0	1	132	2313	2356	2.70E-16	91.3	UniRef50_A0A3Q0JF84 LOW QUALITY PROTEIN: uncharacterized protein LOC103519968 n=6 Tax=Eukaryota TaxID=2759 RepID=A0A3Q0JF84_DIACI
APCJ01000261.1	UniRef50_P62975	100	44	0	0	1	132	33	76	2.70E-16	91.3	UniRef50_P62975 Ubiquitin n=67 Tax=root TaxID=1 RepID=UBIQ_RABIT
APCJ01000261.1	UniRef50_A0A8J6L7V4	100	44	0	0	1	132	33	76	2.70E-16	91.3	UniRef50_A0A8J6L7V4 Ubiquitin-ribosomal protein eL40 fusion protein n=2 Tax=Protostomia TaxID=33317 RepID=A0A8J6L7V4_TENMO
APCJ01000261.1	UniRef50_P62972	100	44	0	0	1	132	124	167	2.70E-16	91.3	UniRef50_P62972 Polyubiquitin (Fragment) n=258 Tax=cellular organisms TaxID=131567 RepID=UBIQP_XENLA
APCJ01001220.1	UniRef50_UPI0024BEDB20	97.5	80	2	0	13	252	529	608	1.70E-35	156	UniRef50_UPI0024BEDB20 polyubiquitin-B isoform X2 n=1 Tax=Pseudoliparis swirei TaxID=2059687 RepID=UPI0024BEDB20
APCJ01001220.1	UniRef50_A0A8S3WMF9	100	78	0	0	19	252	80	157	2.20E-35	155.6	UniRef50_A0A8S3WMF9 (apollo) hypothetical protein n=5 Tax=Endopterygota TaxID=33392 RepID=A0A8S3WMF9_PARAO
APCJ01001220.1	UniRef50_A0A3M0KHF6	96.3	81	3	0	10	252	12	92	2.90E-35	155.2	UniRef50_A0A3M0KHF6 Ubiquitin-like domain-containing protein n=18 Tax=Bilateria TaxID=33213 RepID=A0A3M0KHF6_HIRRU
APCJ01001220.1	UniRef50_A0A3Q3W585	94	83	5	0	4	252	42	124	4.90E-35	154.5	UniRef50_A0A3Q3W585 Ubiquitin-like domain-containing protein n=4 Tax=Bilateria TaxID=33213 RepID=A0A3Q3W585_MOLML
APCJ01001220.1	UniRef50_A0A087RB55	96.2	80	3	0	13	252	3	82	4.90E-35	154.5	UniRef50_A0A087RB55 Ubiquitin-40S ribosomal protein S27a (Fragment) n=6 Tax=root TaxID=1 RepID=A0A087RB55_APTFO
APCJ01002375.1	UniRef50_UPI0020FFD448	98.2	228	4	0	28	711	32	259	2.70E-118	432.6	UniRef50_UPI0020FFD448 polyubiquitin-B-like n=2 Tax=Bilateria TaxID=33213 RepID=UPI0020FFD448
APCJ01002375.1	UniRef50_Q7PUQ6	98.2	228	4	0	28	711	1	228	2.70E-118	432.6	UniRef50_Q7PUQ6 AGAP001970-PA n=18 Tax=cellular organisms TaxID=131567 RepID=Q7PUQ6_ANOGA
APCJ01002375.1	UniRef50_A0A182UDV6	97.8	228	5	0	28	711	293	520	6.00E-118	431.4	UniRef50_A0A182UDV6 Ubiquitin-like domain-containing protein n=1 Tax=Anopheles melas TaxID=34690 RepID=A0A182UDV6_9DIPT
APCJ01002375.1	UniRef50_UPI00237C199B	95.6	228	10	0	28	711	1	228	1.10E-116	427.2	UniRef50_UPI00237C199B LOW QUALITY PROTEIN: uncharacterized protein LOC128731526 n=1 Tax=Anopheles nili TaxID=185578 RepID=UPI00237C199B
APCJ01002375.1	UniRef50_Q7PUN2	84.6	228	35	0	28	711	77	304	2.10E-102	379.8	UniRef50_Q7PUN2 AGAP001969-PA n=20 Tax=Eukaryota TaxID=2759 RepID=Q7PUN2_ANOGA
APCJ01002375.1	UniRef50_Q7PUN2	97.4	233	6	0	58	756	77	309	5.60E-122	444.9	UniRef50_Q7PUN2 AGAP001969-PA n=20 Tax=Eukaryota TaxID=2759 RepID=Q7PUN2_ANOGA
APCJ01002375.1	UniRef50_UPI0020FFD448	96.9	228	7	0	58	741	108	335	1.10E-117	430.6	UniRef50_UPI0020FFD448 polyubiquitin-B-like n=2 Tax=Bilateria TaxID=33213 RepID=UPI0020FFD448
APCJ01002375.1	UniRef50_UPI00237C199B	84.3	236	32	1	58	750	77	312	2.10E-105	389.8	UniRef50_UPI00237C199B LOW QUALITY PROTEIN: uncharacterized protein LOC128731526 n=1 Tax=Anopheles nili TaxID=185578 RepID=UPI00237C199B
APCJ01002375.1	UniRef50_A0A182UDV6	81	247	47	0	1	741	274	520	4.80E-105	388.7	UniRef50_A0A182UDV6 Ubiquitin-like domain-containing protein n=1 Tax=Anopheles melas TaxID=34690 RepID=A0A182UDV6_9DIPT
APCJ01002375.1	UniRef50_Q7PUQ6	85.5	228	33	0	58	741	1	228	7.60E-103	381.3	UniRef50_Q7PUQ6 AGAP001970-PA n=18 Tax=cellular organisms TaxID=131567 RepID=Q7PUQ6_ANOGA
APCK01000286.1	UniRef50_A0A1E1WLD9	94	84	5	0	16	267	21	104	8.10E-36	157.1	UniRef50_A0A1E1WLD9 Ubiquitin-like domain-containing protein n=1 Tax=Pectinophora gossypiella TaxID=13191 RepID=A0A1E1WLD9_PECGO
APCK01000286.1	UniRef50_A0A498MCC2	94	84	5	0	16	267	278	361	2.30E-35	155.6	UniRef50_A0A498MCC2 Ubiquitin-ribosomal protein eL40 fusion protein n=2 Tax=Labeo rohita TaxID=84645 RepID=A0A498MCC2_LABRO
APCK01000286.1	UniRef50_A0A834M3S7	94	84	5	0	16	267	52	135	2.30E-35	155.6	UniRef50_A0A834M3S7 Ubiquitin-like domain-containing protein n=8 Tax=Bilateria TaxID=33213 RepID=A0A834M3S7_RHYFE
APCK01000286.1	UniRef50_A0A8C9Y6K9	95.1	82	4	0	22	267	50	131	3.10E-35	155.2	UniRef50_A0A8C9Y6K9 Ubiquitin B n=3 Tax=Euteleostomi TaxID=117571 RepID=A0A8C9Y6K9_SANLU
APCK01000286.1	UniRef50_A0A9Q1I813	100	78	0	0	34	267	388	465	4.00E-35	154.8	UniRef50_A0A9Q1I813 Ubiquitin carboxyl extension protein 80 n=10 Tax=cellular organisms TaxID=131567 RepID=A0A9Q1I813_CONCO
APCK01000412.1	UniRef50_W5JBG3	97.4	76	2	0	28	255	77	152	2.80E-33	148.7	UniRef50_W5JBG3 Ubiquitin n=6 Tax=cellular organisms TaxID=131567 RepID=W5JBG3_ANODA
APCK01000412.1	UniRef50_Q7PUN2	96.2	78	3	0	28	261	1	78	3.70E-33	148.3	UniRef50_Q7PUN2 AGAP001969-PA n=20 Tax=Eukaryota TaxID=2759 RepID=Q7PUN2_ANOGA
APCK01000412.1	UniRef50_A0A182MWD4	96.2	78	3	0	28	261	35	112	3.70E-33	148.3	UniRef50_A0A182MWD4 Ubiquitin-like domain-containing protein n=2 Tax=Anopheles TaxID=7164 RepID=A0A182MWD4_9DIPT
