original values				detectEVE	original values											detectEVE values												
Contig	name	Host_species	Location	locus	Orientation	Best_viral_match	NR evalue	PFAM evalue	region	element																		
AAGE02016690	n.s.	(Aedes aegypti)	36382-36918	AAGE02016690.1_36127-36789:+	+	FJ872827	6.00E-23	4.10E-39	3285-3851	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE321	high	70	viral (2), non-viral (1)	annotated protein of Eukaryota (1), UDB Viruses (1), VDB (1)	1.41E-147	85.5	putative glycoprotein [Aedes rhabdo-like virus] acc=QPF16717.1	putative glycoprotein [Aedes rhabdo-like virus] acc=QPF16717.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Aedes rhabdo-like virus	Negarnaviricota		
AAGE02016690	n.s.	(Aedes aegypti)	36382-36918	AAGE02016690.1_36769-37513:+	+	FJ872827	6.00E-23	4.10E-39	3285-3851	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE293	high	83	viral (5), non-viral (1)	VDB (3), UDB Viruses (2), annotated protein of Eukaryota (1)	9.29E-87	49	glycoprotein [Evros rhabdovirus 1] acc=QRD99857.1	glycoprotein [Evros rhabdovirus 1] acc=QRD99857.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Evros rhabdovirus 1	Negarnaviricota		
AAGE02017532	n.s.	(Aedes aegypti)	41701-42467	AAGE02017532.1_41464-42851:+	+	EU370915	2.00E-23	2.00E-33	3285-4073	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE310	high	77	viral (5), non-viral (1)	VDB (3), UDB Viruses (2), annotated protein of Eukaryota (1)	5.13E-208	78.1	AAEL007844-PA n=1 Tax=Aedes aegypti  RepID=Q170M5_AEDAE	putative glycoprotein [Hattula rhabdovirus] acc=WCD44318.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Hattula rhabdovirus	Negarnaviricota		
AAGE02018553	n.s.	(Aedes aegypti)	29534-30604	AAGE02018553.1_29351-30835:-	-	FJ872827	2.00E-28	2.00E-46	3285-4364	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE308	high	78	viral (5), non-viral (1)	VDB (3), UDB Viruses (2), annotated protein of Eukaryota (1)	1.09E-203	74.6	AAEL007844-PA n=1 Tax=Aedes aegypti  RepID=Q170M5_AEDAE	putative glycoprotein [Hattula rhabdovirus] acc=WCD44318.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Hattula rhabdovirus	Negarnaviricota		
AAGE02018553	n.s.	(Aedes aegypti)	46857-47561	AAGE02018553.1_29351-30835:-	-	AY614723	5.00E-10	3.90E-19	3090-3833	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE308	high	78	viral (5), non-viral (1)	VDB (3), UDB Viruses (2), annotated protein of Eukaryota (1)	1.09E-203	74.6	AAEL007844-PA n=1 Tax=Aedes aegypti  RepID=Q170M5_AEDAE	putative glycoprotein [Hattula rhabdovirus] acc=WCD44318.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__Hattula rhabdovirus	Negarnaviricota		
AAGE02020997	n.s.	(Aedes aegypti)	1128-1406	AAGE02020997.1_1128-1493:-	-ve	AY149905	5.00E-21	1.10E-14	2680-2922	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE277	high	86	viral (13), maybe-viral (1), non-viral (1)	VDB (9), UDB Viruses (3), annotated protein of Eukaryota (1), uncharacterized protein (1), virus (1)	1.89E-77	92.6	AAEL007866-PA n=1 Tax=Aedes aegypti  RepID=Q170M3_AEDAE	Genome polyprotein n=4 Tax=Riboviria  RepID=A0A142KWE1_9FLAV	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__unclassified Viruses species	Kitrinoviricota		
AAGE02020997	n.s.	(Aedes aegypti)	5206-5484	AAGE02020997.1_5206-5571:-	-ve	AY149905	4.00E-21	3.00E-15	2680-2922	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE278	high	86	viral (13), maybe-viral (1), non-viral (1)	VDB (9), UDB Viruses (3), annotated protein of Eukaryota (1), uncharacterized protein (1), virus (1)	1.33E-77	92.6	AAEL007866-PA n=1 Tax=Aedes aegypti  RepID=Q170M3_AEDAE	polyprotein [Menghai flavivirus] acc=YP_009351861.1	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__unclassified Flaviviridae genus;s__Menghai flavivirus	Kitrinoviricota		
AAGE02020997	n.s.	(Aedes aegypti)	6823-7101	AAGE02020997.1_6823-7188:-	-ve	AY149905	4.00E-21	3.00E-15	2680-2922	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE279	high	86	viral (13), maybe-viral (1), non-viral (1)	VDB (9), UDB Viruses (3), annotated protein of Eukaryota (1), uncharacterized protein (1), virus (1)	1.33E-77	92.6	AAEL007866-PA n=1 Tax=Aedes aegypti  RepID=Q170M3_AEDAE	polyprotein [Menghai flavivirus] acc=YP_009351861.1	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__unclassified Flaviviridae genus;s__Menghai flavivirus	Kitrinoviricota		
AAGE02020997	n.s.	(Aedes aegypti)	741-1019	AAGE02020997.1_741-1106:-	-ve	AY149905	2.00E-21	2.10E-15	2680-2922	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE280	high	86	viral (13), maybe-viral (1), non-viral (1)	VDB (9), UDB Viruses (3), annotated protein of Eukaryota (1), uncharacterized protein (1), virus (1)	4.67E-78	93.4	AAEL007866-PA n=1 Tax=Aedes aegypti  RepID=Q170M3_AEDAE	Genome polyprotein n=4 Tax=Riboviria  RepID=A0A142KWE1_9FLAV	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__unclassified Viruses species	Kitrinoviricota		
AAGE02020997	n.s.	(Aedes aegypti)	8386-8673	AAGE02020997.1_8395-8760:-	-ve	AY149905	9.00E-21	7.10E-15	2689-2922	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE281	high	86	viral (13), maybe-viral (1), non-viral (1)	VDB (9), UDB Viruses (3), annotated protein of Eukaryota (1), uncharacterized protein (1), virus (1)	1.89E-77	92.6	AAEL007866-PA n=1 Tax=Aedes aegypti  RepID=Q170M3_AEDAE	Genome polyprotein n=4 Tax=Riboviria  RepID=A0A142KWE1_9FLAV	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__unclassified Viruses species	Kitrinoviricota		
AAGE02020997	n.s.	(Aedes aegypti)	4027-5927	AAGE02020997.1_5206-5571:-	-ve	AY149905	4.00E-86	1.50E-61	2683-3699	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE278	high	86	viral (13), maybe-viral (1), non-viral (1)	VDB (9), UDB Viruses (3), annotated protein of Eukaryota (1), uncharacterized protein (1), virus (1)	1.33E-77	92.6	AAEL007866-PA n=1 Tax=Aedes aegypti  RepID=Q170M3_AEDAE	polyprotein [Menghai flavivirus] acc=YP_009351861.1	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__unclassified Flaviviridae genus;s__Menghai flavivirus	Kitrinoviricota		
AAGE02020997	n.s.	(Aedes aegypti)	8782-9060	AAGE02020997.1_8782-9087:-	-ve	AY149905	5.00E-21	1.10E-14	2680-2922	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE266	high	89	viral (18), maybe-viral (1), non-viral (1)	VDB (12), UDB Viruses (5), annotated protein of Eukaryota (1), uncharacterized protein (1), virus (1)	3.04E-63	94.1	AAEL007866-PA n=1 Tax=Aedes aegypti  RepID=Q170M3_AEDAE	Genome polyprotein n=4 Tax=Riboviria  RepID=A0A142KWE1_9FLAV	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__unclassified Viruses species	Kitrinoviricota		
AAGE02020997	n.s.	(Aedes aegypti)	2799-3632	AAGE02020997.1_1581-2726:-	-ve	AY149905	4.00E-56	8.60E-43	2938-3699	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE256	high	92	viral (17), maybe-viral (1), non-viral (1)	VDB (11), UDB Viruses (5), annotated protein of Eukaryota (1), uncharacterized protein (1), virus (1)	2.07E-154	60.4	polyprotein [Menghai flavivirus] acc=YP_009351861.1	polyprotein [Menghai flavivirus] acc=YP_009351861.1	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__unclassified Flaviviridae genus;s__Menghai flavivirus	Kitrinoviricota		
AAGE02020997	n.s.	(Aedes aegypti)	3-632	AAGE02020997.1_3-719:-	-ve	AY149905	2.00E-68	1.10E-61	2683-3303	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE257	high	92	viral (18), maybe-viral (1), non-viral (1)	VDB (12), UDB Viruses (5), annotated protein of Eukaryota (1), uncharacterized protein (1), virus (1)	2.83E-116	67.6	polyprotein [Menghai flavivirus] acc=YP_009351861.1	polyprotein [Menghai flavivirus] acc=YP_009351861.1	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__unclassified Flaviviridae genus;s__Menghai flavivirus	Kitrinoviricota		
AAGE02020997	n.s.	(Aedes aegypti)	1566-2639	AAGE02020997.1_2814-3954:-	-ve	AY149905	4.00E-64	8.00E-44	2680-3699	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE245	high	93	viral (19), maybe-viral (1), non-viral (1)	VDB (12), UDB Viruses (6), annotated protein of Eukaryota (1), uncharacterized protein (1), virus (1)	1.37E-156	60.5	polyprotein [Menghai flavivirus] acc=YP_009351861.1	polyprotein [Menghai flavivirus] acc=YP_009351861.1	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__unclassified Flaviviridae genus;s__Menghai flavivirus	Kitrinoviricota		
AAGE02020997	n.s.	(Aedes aegypti)	2799-3632	AAGE02020997.1_2814-3954:-	-ve	AY149905	4.00E-56	8.60E-43	2938-3699	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE245	high	93	viral (19), maybe-viral (1), non-viral (1)	VDB (12), UDB Viruses (6), annotated protein of Eukaryota (1), uncharacterized protein (1), virus (1)	1.37E-156	60.5	polyprotein [Menghai flavivirus] acc=YP_009351861.1	polyprotein [Menghai flavivirus] acc=YP_009351861.1	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__unclassified Flaviviridae genus;s__Menghai flavivirus	Kitrinoviricota		
AAGE02020997	n.s.	(Aedes aegypti)	5644-6714	AAGE02020997.1_5659-6801:-	-ve	AY149905	1.00E-84	4.90E-62	2683-3699	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE247	high	93	viral (19), maybe-viral (1), non-viral (1)	VDB (12), UDB Viruses (6), annotated protein of Eukaryota (1), uncharacterized protein (1), virus (1)	4.60E-160	60.3	polyprotein [Menghai flavivirus] acc=YP_009351861.1	polyprotein [Menghai flavivirus] acc=YP_009351861.1	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__unclassified Flaviviridae genus;s__Menghai flavivirus	Kitrinoviricota		
AAGE02020997	n.s.	(Aedes aegypti)	4027-5927	AAGE02020997.1_5659-6801:-	-ve	AY149905	4.00E-86	1.50E-61	2683-3699	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE247	high	93	viral (19), maybe-viral (1), non-viral (1)	VDB (12), UDB Viruses (6), annotated protein of Eukaryota (1), uncharacterized protein (1), virus (1)	4.60E-160	60.3	polyprotein [Menghai flavivirus] acc=YP_009351861.1	polyprotein [Menghai flavivirus] acc=YP_009351861.1	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__unclassified Flaviviridae genus;s__Menghai flavivirus	Kitrinoviricota		
AAGE02020997	n.s.	(Aedes aegypti)	4027-5927	AAGE02020997.1_4042-5184:-	-ve	AY149905	4.00E-86	1.50E-61	2683-3699	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE246	high	93	viral (19), maybe-viral (1), non-viral (1)	VDB (12), UDB Viruses (6), annotated protein of Eukaryota (1), uncharacterized protein (1), virus (1)	7.21E-161	60.5	polyprotein [Menghai flavivirus] acc=YP_009351861.1	polyprotein [Menghai flavivirus] acc=YP_009351861.1	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__unclassified Flaviviridae genus;s__Menghai flavivirus	Kitrinoviricota		
AAGE02020997	n.s.	(Aedes aegypti)	7261-8286	AAGE02020997.1_7276-8373:-	-ve	AY149905	8.00E-75	3.00E-59	2683-3699	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE232	high	96	viral (17), maybe-viral (1)	VDB (11), UDB Viruses (5), uncharacterized protein (1), virus (1)	7.83E-148	57.2	polyprotein [Menghai flavivirus] acc=YP_009351861.1	polyprotein [Menghai flavivirus] acc=YP_009351861.1	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__unclassified Flaviviridae genus;s__Menghai flavivirus	Kitrinoviricota		
AAGE02020997	n.s.	(Aedes aegypti)	3679-3867	AAGE02020997.1_2814-3954:-	-ve	AY149905	6.00E-14	4.60E-06	2689-2868	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE245	high	93	viral (19), maybe-viral (1), non-viral (1)	VDB (12), UDB Viruses (6), annotated protein of Eukaryota (1), uncharacterized protein (1), virus (1)	1.37E-156	60.5	polyprotein [Menghai flavivirus] acc=YP_009351861.1	polyprotein [Menghai flavivirus] acc=YP_009351861.1	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__unclassified Flaviviridae genus;s__Menghai flavivirus		Kitrinoviricota	YP_009351861.1 acc|REFSEQ|YP_009351861.1|REFSEQ|NC_034204|polyprotein [Menghai flavivirus] acc=YP_009351861.1 taxid=1963247
AAGE02020998	n.s.	(Aedes aegypti)	1-735	AAGE02020998.1_19-822:-	-ve	AY149905	2.00E-60	1.20E-59	2683-3396	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE258	high	92	viral (18), maybe-viral (1), non-viral (1)	VDB (12), UDB Viruses (5), annotated protein of Eukaryota (1), uncharacterized protein (1), virus (1)	4.78E-116	60.4	polyprotein [Menghai flavivirus] acc=YP_009351861.1	polyprotein [Menghai flavivirus] acc=YP_009351861.1	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__unclassified Flaviviridae genus;s__Menghai flavivirus	Kitrinoviricota		
AAGE02020998	n.s.	(Aedes aegypti)	768-835	AAGE02020998.1_19-822:-	-ve	AY149905	7.00E-21	1.90E-15	2689-2922	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE258	high	92	viral (18), maybe-viral (1), non-viral (1)	VDB (12), UDB Viruses (5), annotated protein of Eukaryota (1), uncharacterized protein (1), virus (1)	4.78E-116	60.4	polyprotein [Menghai flavivirus] acc=YP_009351861.1	polyprotein [Menghai flavivirus] acc=YP_009351861.1	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__unclassified Flaviviridae genus;s__Menghai flavivirus	Kitrinoviricota		
AAGE02020998	n.s.	(Aedes aegypti)	1282-2352	AAGE02020998.1_1297-2439:-	-ve	AY149905	6.00E-85	1.70E-61	2683-3699	NA	positive sense RNA	Flavivirus	NA	NA	NA	AAGE02_EVE248	high	93	viral (19), maybe-viral (1), non-viral (1)	VDB (12), UDB Viruses (6), annotated protein of Eukaryota (1), uncharacterized protein (1), virus (1)	1.34E-160	60.5	polyprotein [Menghai flavivirus] acc=YP_009351861.1	polyprotein [Menghai flavivirus] acc=YP_009351861.1	k__Viruses;K__Orthornavirae;p__Kitrinoviricota;c__Flasuviricetes;o__Amarillovirales;f__Flaviviridae;g__unclassified Flaviviridae genus;s__Menghai flavivirus	Kitrinoviricota		
AAGE02024228	n.s.	(Aedes aegypti)	4748-5132	AAGE02024228.1_4751-5132:+	+	EU373657	2.00E-37	5.20E-22	5876-6262	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE239	high	95	viral (20), maybe-viral (1)	VDB (16), UDB Viruses (4), uncharacterized protein (1)	8.62E-65	77.7	Uncharacterized protein n=3 Tax=root  RepID=A0AAB0A006_AEDAL	polymerase protein [Chandipura virus] acc=AHA42511.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Vesiculovirus;s__Vesiculovirus chandipura	Negarnaviricota		
AAGE02028516	n.s.	(Aedes aegypti)	19322-21042	AAGE02028516.1_19313-21057:+	+	AJ810084	1.00E-114	1.20E-46	7259-8998	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE240	high	95	viral (22), non-viral (1)	VDB (17), UDB Viruses (5), annotated protein of Eukaryota (1)	5.46E-190	51.6	RNA-dependent RNA polymerase n=2 Tax=unclassified Rhabdoviridae  RepID=A0AAE9T8P1_9RHAB	RNA-dependent RNA polymerase n=2 Tax=unclassified Rhabdoviridae  RepID=A0AAE9T8P1_9RHAB	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__unclassified Rhabdoviridae genus;s__unclassified Rhabdoviridae species	Negarnaviricota		
AAGE02029253	n.s.	(Aedes aegypti)	12615-13760	AAGE02029253.1_12615-13913:+	+	AY614720	1.00E-22	2.90E-35	3129-4274	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE218	high	100	viral (17)	VDB (12), UDB Viruses (5)	2.11E-100	36.6	putative glycoprotein [Enontekio ohlsrhavirus] acc=WCD44313.1	putative glycoprotein [Enontekio ohlsrhavirus] acc=WCD44313.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ohlsrhavirus;s__Enontekio ohlsrhavirus	Negarnaviricota		
AAGE02029253	n.s.	(Aedes aegypti)	1631-2845	AAGE02029253.1_1631-2945:+	+	D26175	6.00E-25	6.90E-38	3129-4340	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE220	high	100	viral (17)	VDB (12), UDB Viruses (5)	7.79E-99	36.7	putative glycoprotein [Enontekio ohlsrhavirus] acc=WCD44313.1	putative glycoprotein [Enontekio ohlsrhavirus] acc=WCD44313.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ohlsrhavirus;s__Enontekio ohlsrhavirus	Negarnaviricota		
AAGE02029253	n.s.	(Aedes aegypti)	49623-50666	AAGE02029253.1_49496-50996:+	+	FJ985749	4.00E-20	1.30E-39	3237-4274	NA	negative sense RNA	Vesiculovirus	NA	NA	NA	AAGE02_EVE226	high	100	viral (17)	VDB (12), UDB Viruses (5)	2.52E-99	34.6	putative glycoprotein [Enontekio ohlsrhavirus] acc=WCD44313.1	putative glycoprotein [Enontekio ohlsrhavirus] acc=WCD44313.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Ohlsrhavirus;s__Enontekio ohlsrhavirus	Negarnaviricota		
AAGU03013549	n.s.	African elephant	51509-53236	AAGU03013549.1_51509-53245:+			0	1.30E-112	330-1841	NA	ssDNA	Dependovirus	NA	NA	NA	AAGU03_EVE006	high	95	viral (19), non-viral (1)	VDB (16), UDB Viruses (3), annotated protein of unclassified root superkingdom (1)	5.43E-255	60.4	DNA binding trs helicase [adeno-associated virus 5] acc=YP_068408.1	DNA binding trs helicase [adeno-associated virus 5] acc=YP_068408.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Dependoparvovirus mammalian1		Cossaviricota	YP_068408.1 acc|REFSEQ|YP_068408.1|REFSEQ|NC_006152|DNA binding trs helicase [adeno-associated virus 5] acc=YP_068408.1 taxid=82300
AAGU03015682	n.s.	African Elephant [14]	8568-9689	AAGU03015682.1_8589-9518:-	-	AY374520	2.00E-25	1.40E-32	360-1127	EBLN-6 (NP)	negative sense RNA	Bornavirus	NA	NA	NA	AAGU03_EVE078	low	20	maybe-viral (1)	uncharacterized protein (1)	3.52E-211	94.2	Uncharacterized protein LOC111819001 isoform X1 n=18 Tax=Afrotheria  RepID=A0A2Y9QAH2_TRIMA	NA	NA	Chordata		
AAGU03021424	n.s.	(Loxodonta African)	11188-12264	AAGU03021424.1_11194-12078:-	-	DQ680833	4.00E-12	6.30E-13	477-1040	EBLN-6 (NP)	negative sense RNA	Bornavirus	NA	NA	NA	AAGU03_EVE081	low	20	maybe-viral (1)	uncharacterized protein (1)	4.04E-140	71.1	Uncharacterized protein LOC111819001 isoform X1 n=18 Tax=Afrotheria  RepID=A0A2Y9QAH2_TRIMA	NA	NA	Chordata		
AAGU03024746	n.s.	(Loxodonta African)	17448-18540	AAGU03024746.1_17652-18437:+	+	DQ680833	2.00E-16	9.60E-23	633-1019	EBLN-6 (NP)	negative sense RNA	Bornavirus	NA	NA	NA	AAGU03_EVE040	high	47	maybe-viral (1), viral (1)	uncharacterized protein (1), VDB (1)	8.73E-157	83.6	Uncharacterized protein LOC111819001 isoform X1 n=18 Tax=Afrotheria  RepID=A0A2Y9QAH2_TRIMA	N [Southwest carpet python virus] acc=YP_009508485.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Carbovirus;s__Carbovirus tapeti	Chordata		
AAGU03027606	n.s.	(Loxodonta African)	35816 -36577	AAGU03027606.1_35765-36685:+	+	FJ620690	2.00E-37	1.70E-37	258-1046	NA	negative sense RNA	Bornavirus	NA	NA	NA	AAGU03_EVE011	high	91	viral (19), non-viral (2)	endogenous (9), VDB (7), UDB Viruses (3), annotated protein of Eukaryota (1), annotated protein of unclassified root superkingdom (1)	3.17E-52	37.9	endogenous bornavirus-like N 1 [Miniopterus schreibersii] acc=BCK51568.1	nucleoprotein [Estrildid finch bornavirus 1] acc=YP_009505423.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Orthobornavirus;s__Orthobornavirus estrildidae	Chordata		
AAGU03043349	n.s.	(Loxodonta African)	106085-107223	AAGU03043349.1_106095-107085:-	-	FJ169441	4.00E-39	1.10E-32	291-1037	NA	negative sense RNA	Bornavirus	NA	NA	NA	AAGU03_EVE009	high	94	viral (19), non-viral (1)	endogenous (8), VDB (7), UDB Viruses (4), annotated protein of unclassified root superkingdom (1)	1.37E-58	37.6	endogenous bornavirus-like N 1 [Miniopterus schreibersii] acc=BCK51568.1	nucleoprotein [Estrildid finch bornavirus 1] acc=YP_009505423.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Orthobornavirus;s__Orthobornavirus estrildidae	Negarnaviricota		
AAKN02025587	n.s.	Guinea pig (Cavia porcellus)	32716-33015	AAKN02025587.1_32698-33137:+	+	GQ499199	3.00E-10	6.50E-17	1193-1462	NA	negative sense RNA	Ebolavirus	NA	NA	NA	AAKN02_EVE018	high	96	viral (26), non-viral (1)	VDB (18), UDB Viruses (8), annotated protein of unclassified root superkingdom (1)	3.34E-12	34.5	NP [Zaire ebolavirus] acc=AJZ74649.1	NP [Zaire ebolavirus] acc=AJZ74649.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Filoviridae;g__Orthoebolavirus;s__Orthoebolavirus zairense	Negarnaviricota		
AAKN02025587	n.s.	(Cavia porcellus)	41988-42592	AAKN02025587.1_41985-42499:+	+	AY374542	0.038	4.40E-08	534-881	NA	negative sense RNA	Bornavirus	NA	NA	NA	AAKN02_EVE046	high	40	maybe-viral (2), viral (2), non-viral (1)	UDB Viruses (2), uncharacterized protein (2), annotated protein of Eukaryota (1)	1.31E-32	40.9	Nucleoprotein n=1 Tax=Myotis brandtii  RepID=S7PTE0_MYOBR	Nucleoprotein n=1 Tax=electric eel bornavirus  RepID=A0AA48P916_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__unclassified Bornaviridae genus;s__electric eel bornavirus	Chordata		
AAKN02030352	n.s.	Guinea pig (Cavia porcellus)	3872-5256	AAKN02030352.1_3866-5361:+	+	AY742934	8.00E-169	3.40E-55	288-4452	NA	ssDNA	Parvovirus	NA	NA	NA	AAKN02_EVE003	high	100	viral (20)	VDB (17), UDB Viruses (3)	8.66E-112	39.1	NS1 [Bufavirus-3] acc=BAO56906.1	NS1 [Bufavirus-3] acc=BAO56906.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Bufavirus-3	Cossaviricota		
AAKN02030352	n.s.	(Cavia porcellus)	11742-12062	AAKN02030352.1_11742-13826:+	+	AY742934	2.00E-42	3.10E-22	969-2637	NA	ssDNA	Dependovirus	NA	NA	NA	AAKN02_EVE002	high	100	viral (20)	VDB (16), UDB Viruses (3), capsid (1)	1.86E-114	35.7	putative VP1 [Bufavirus-1] acc=AFN44268.1	putative VP1 [Bufavirus-1] acc=AFN44268.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Bufavirus-1	Cossaviricota		
AAKN02032906	n.s.	(Cavia porcellus)	58198-58707	AAKN02032906.1_58104-59804:-	-	DQ196319	5.00E-33	2.10E-19	1206-1721	NA	ssDNA	Dependovirus	NA	NA	NA	AAKN02_EVE004	high	100	viral (20)	VDB (15), UDB Viruses (5)	1.15E-89	32.7	NS1 protein [Protoparvovirus sp.] acc=UPH39292.1	NS1 protein [Protoparvovirus sp.] acc=UPH39292.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Protoparvovirus;s__Protoparvovirus sp.	Cossaviricota		
